frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
507.55,-0.37,-0.84,-0.37,-0.84,0.84,0.87,0.47,0.47,0.47
512.62,-0.37,-0.84,-0.37,-0.84,0.83,0.87,0.47,0.47,0.47
517.75,-0.37,-0.83,-0.37,-0.83,0.83,0.86,0.46,0.46,0.46
522.93,-0.37,-0.83,-0.37,-0.83,0.83,0.86,0.46,0.47,0.46
528.16,-0.37,-0.82,-0.37,-0.83,0.83,0.86,0.47,0.47,0.46
533.44,-0.37,-0.83,-0.37,-0.83,0.84,0.85,0.47,0.47,0.46
538.77,-0.38,-0.83,-0.37,-0.84,0.84,0.84,0.46,0.47,0.46
544.16,-0.38,-0.84,-0.38,-0.84,0.84,0.84,0.47,0.46,0.46
549.60,-0.39,-0.86,-0.38,-0.85,0.85,0.83,0.46,0.46,0.47
555.10,-0.38,-0.85,-0.38,-0.85,0.85,0.81,0.47,0.47,0.48
560.65,-0.37,-0.85,-0.37,-0.85,0.84,0.80,0.47,0.47,0.48
566.25,-0.36,-0.84,-0.35,-0.83,0.83,0.78,0.47,0.48,0.49
571.92,-0.34,-0.81,-0.34,-0.81,0.81,0.76,0.48,0.48,0.47
577.64,-0.31,-0.79,-0.32,-0.79,0.79,0.74,0.48,0.48,0.48
583.41,-0.30,-0.76,-0.29,-0.76,0.76,0.72,0.47,0.47,0.46
589.25,-0.27,-0.74,-0.27,-0.73,0.73,0.70,0.47,0.47,0.47
595.14,-0.24,-0.69,-0.24,-0.70,0.70,0.67,0.46,0.46,0.46
601.09,-0.20,-0.66,-0.20,-0.66,0.66,0.64,0.46,0.46,0.46
607.10,-0.16,-0.61,-0.16,-0.62,0.62,0.61,0.46,0.46,0.46
613.17,-0.12,-0.58,-0.11,-0.57,0.57,0.57,0.46,0.46,0.46
619.30,-0.07,-0.52,-0.07,-0.52,0.53,0.54,0.46,0.46,0.45
625.50,-0.03,-0.47,-0.02,-0.48,0.48,0.50,0.45,0.46,0.45
631.75,0.02,-0.44,0.02,-0.43,0.43,0.46,0.45,0.46,0.46
638.07,0.07,-0.38,0.07,-0.39,0.38,0.42,0.46,0.45,0.46
644.45,0.12,-0.34,0.12,-0.34,0.34,0.38,0.46,0.46,0.46
650.89,0.17,-0.29,0.18,-0.29,0.29,0.33,0.46,0.47,0.46
657.40,0.23,-0.24,0.23,-0.24,0.25,0.29,0.48,0.48,0.47
663.98,0.28,-0.20,0.28,-0.20,0.20,0.24,0.49,0.48,0.48
670.62,0.32,-0.15,0.33,-0.16,0.16,0.19,0.48,0.49,0.48
677.32,0.37,-0.12,0.37,-0.12,0.12,0.14,0.49,0.49,0.49
684.10,0.42,-0.08,0.42,-0.08,0.08,0.09,0.50,0.50,0.50
690.94,0.47,-0.04,0.47,-0.04,0.03,0.04,0.50,0.51,0.51
697.85,0.52,0.01,0.52,0.01,-0.02,-0.02,0.51,0.51,0.51
704.83,0.57,0.06,0.57,0.06,-0.07,-0.07,0.51,0.50,0.52
711.87,0.61,0.11,0.62,0.11,-0.12,-0.13,0.49,0.50,0.50
718.99,0.66,0.18,0.66,0.17,-0.17,-0.18,0.49,0.49,0.49
726.18,0.70,0.23,0.71,0.23,-0.23,-0.24,0.47,0.48,0.47
733.44,0.75,0.29,0.75,0.29,-0.29,-0.29,0.47,0.46,0.46
740.78,0.78,0.35,0.78,0.35,-0.34,-0.35,0.44,0.44,0.44
748.19,0.81,0.40,0.81,0.40,-0.40,-0.40,0.41,0.41,0.41
755.67,0.84,0.46,0.84,0.45,-0.45,-0.46,0.39,0.39,0.39
763.23,0.87,0.49,0.87,0.49,-0.50,-0.50,0.37,0.37,0.38
770.86,0.90,0.53,0.91,0.54,-0.54,-0.55,0.36,0.36,0.37
778.57,0.93,0.58,0.94,0.58,-0.58,-0.58,0.36,0.36,0.35
786.35,0.96,0.63,0.96,0.62,-0.61,-0.61,0.36,0.35,0.33
794.22,0.96,0.64,0.96,0.64,-0.63,-0.64,0.34,0.34,0.33
802.16,0.95,0.65,0.95,0.65,-0.64,-0.65,0.31,0.31,0.30
810.18,0.93,0.64,0.93,0.65,-0.65,-0.66,0.28,0.28,0.29
818.28,0.90,0.64,0.91,0.64,-0.65,-0.66,0.25,0.25,0.26
826.46,0.87,0.64,0.88,0.64,-0.65,-0.65,0.22,0.23,0.23
834.73,0.85,0.64,0.85,0.64,-0.64,-0.64,0.21,0.21,0.22
843.08,0.82,0.64,0.82,0.64,-0.63,-0.62,0.19,0.19,0.18
851.51,0.78,0.63,0.78,0.62,-0.62,-0.60,0.16,0.16,0.16
860.02,0.73,0.61,0.73,0.60,-0.60,-0.58,0.13,0.13,0.12
868.62,0.68,0.57,0.69,0.58,-0.58,-0.56,0.10,0.10,0.11
877.31,0.63,0.56,0.64,0.56,-0.56,-0.54,0.07,0.07,0.08
886.08,0.59,0.54,0.59,0.53,-0.54,-0.51,0.06,0.05,0.05
894.94,0.53,0.51,0.54,0.51,-0.51,-0.49,0.02,0.03,0.03
903.89,0.48,0.48,0.48,0.48,-0.48,-0.47,0.01,0.00,0.00
912.93,0.42,0.44,0.42,0.45,-0.44,-0.44,-0.02,-0.02,-0.02
922.06,0.36,0.41,0.37,0.41,-0.41,-0.41,-0.05,-0.04,-0.05
931.28,0.31,0.38,0.31,0.38,-0.37,-0.39,-0.06,-0.06,-0.07
940.59,0.26,0.34,0.26,0.34,-0.33,-0.36,-0.07,-0.07,-0.07
950.00,0.21,0.30,0.21,0.30,-0.30,-0.33,-0.08,-0.09,-0.09
959.50,0.15,0.26,0.15,0.26,-0.26,-0.30,-0.11,-0.11,-0.10
969.09,0.10,0.22,0.10,0.22,-0.23,-0.27,-0.13,-0.13,-0.12
978.78,0.05,0.18,0.06,0.19,-0.20,-0.25,-0.15,-0.14,-0.13
988.57,0.02,0.17,0.02,0.17,-0.17,-0.22,-0.15,-0.14,-0.14
998.46,0.00,0.16,0.00,0.16,-0.14,-0.19,-0.14,-0.14,-0.16
1008.44,-0.02,0.14,-0.02,0.14,-0.12,-0.16,-0.14,-0.14,-0.16
1018.53,-0.04,0.11,-0.04,0.11,-0.11,-0.13,-0.15,-0.15,-0.15
1028.71,-0.06,0.08,-0.06,0.09,-0.10,-0.11,-0.16,-0.16,-0.14
1039.00,-0.07,0.08,-0.06,0.08,-0.09,-0.09,-0.16,-0.16,-0.14
1049.39,-0.07,0.08,-0.07,0.08,-0.09,-0.07,-0.16,-0.15,-0.15
1059.88,-0.06,0.09,-0.06,0.09,-0.08,-0.05,-0.14,-0.14,-0.14
1070.48,-0.05,0.09,-0.05,0.10,-0.08,-0.04,-0.13,-0.13,-0.14
1081.19,-0.04,0.11,-0.04,0.10,-0.08,-0.03,-0.12,-0.13,-0.15
1092.00,-0.05,0.09,-0.05,0.10,-0.09,-0.03,-0.13,-0.13,-0.14
1102.92,-0.06,0.09,-0.06,0.09,-0.09,-0.04,-0.15,-0.15,-0.15
1113.95,-0.07,0.09,-0.07,0.09,-0.10,-0.05,-0.16,-0.16,-0.15
1125.09,-0.07,0.09,-0.06,0.10,-0.10,-0.07,-0.17,-0.17,-0.16
1136.34,-0.06,0.11,-0.06,0.11,-0.11,-0.09,-0.16,-0.16,-0.16
1147.70,-0.04,0.13,-0.04,0.13,-0.12,-0.12,-0.16,-0.16,-0.17
1159.18,-0.03,0.14,-0.02,0.14,-0.14,-0.15,-0.16,-0.16,-0.17
1170.77,-0.01,0.16,-0.01,0.16,-0.16,-0.19,-0.17,-0.17,-0.17
1182.48,0.01,0.18,0.01,0.18,-0.19,-0.23,-0.18,-0.18,-0.17
1194.30,0.03,0.21,0.04,0.22,-0.23,-0.27,-0.20,-0.19,-0.17
1206.25,0.08,0.26,0.08,0.26,-0.27,-0.31,-0.19,-0.19,-0.18
1218.31,0.13,0.33,0.13,0.32,-0.31,-0.36,-0.18,-0.18,-0.19
1230.49,0.18,0.37,0.19,0.38,-0.36,-0.41,-0.18,-0.18,-0.19
1242.80,0.24,0.43,0.24,0.42,-0.42,-0.46,-0.18,-0.18,-0.19
1255.22,0.29,0.47,0.29,0.47,-0.48,-0.50,-0.18,-0.18,-0.18
1267.78,0.34,0.52,0.35,0.53,-0.53,-0.55,-0.19,-0.19,-0.18
1280.45,0.40,0.60,0.40,0.59,-0.59,-0.60,-0.19,-0.19,-0.19
1293.26,0.45,0.64,0.46,0.65,-0.65,-0.65,-0.19,-0.19,-0.19
1306.19,0.51,0.71,0.51,0.71,-0.70,-0.69,-0.19,-0.18,-0.19
1319.25,0.57,0.76,0.57,0.75,-0.75,-0.73,-0.18,-0.18,-0.19
1332.45,0.61,0.80,0.62,0.80,-0.80,-0.78,-0.18,-0.18,-0.18
1345.77,0.66,0.84,0.66,0.84,-0.84,-0.82,-0.18,-0.18,-0.18
1359.23,0.71,0.89,0.71,0.88,-0.89,-0.86,-0.18,-0.18,-0.18
1372.82,0.75,0.92,0.76,0.92,-0.93,-0.89,-0.18,-0.17,-0.16
1386.55,0.80,0.96,0.80,0.96,-0.97,-0.92,-0.17,-0.17,-0.16
1400.41,0.84,1.01,0.84,1.00,-1.01,-0.96,-0.16,-0.17,-0.16
1414.42,0.87,1.03,0.88,1.04,-1.04,-0.98,-0.17,-0.16,-0.16
1428.56,0.90,1.07,0.91,1.07,-1.07,-1.01,-0.16,-0.16,-0.16
1442.85,0.93,1.10,0.93,1.10,-1.09,-1.03,-0.16,-0.16,-0.17
1457.28,0.94,1.11,0.94,1.11,-1.10,-1.05,-0.16,-0.16,-0.17
1471.85,0.93,1.12,0.94,1.11,-1.10,-1.06,-0.17,-0.17,-0.18
1486.57,0.92,1.10,0.92,1.11,-1.10,-1.07,-0.18,-0.18,-0.18
1501.43,0.90,1.10,0.90,1.09,-1.08,-1.07,-0.18,-0.19,-0.19
1516.45,0.86,1.06,0.86,1.06,-1.06,-1.07,-0.20,-0.20,-0.20
1531.61,0.82,1.03,0.83,1.03,-1.03,-1.06,-0.21,-0.21,-0.20
1546.93,0.78,1.00,0.79,1.00,-1.00,-1.05,-0.22,-0.22,-0.22
1562.40,0.75,0.97,0.75,0.97,-0.97,-1.03,-0.21,-0.22,-0.22
1578.02,0.71,0.93,0.71,0.94,-0.93,-1.01,-0.22,-0.22,-0.22
1593.80,0.67,0.91,0.67,0.91,-0.91,-0.98,-0.23,-0.23,-0.24
1609.74,0.63,0.89,0.63,0.88,-0.88,-0.95,-0.25,-0.25,-0.25
1625.84,0.60,0.86,0.60,0.86,-0.87,-0.92,-0.27,-0.27,-0.26
1642.10,0.58,0.85,0.59,0.85,-0.87,-0.89,-0.29,-0.28,-0.26
1658.52,0.58,0.86,0.58,0.86,-0.88,-0.87,-0.30,-0.30,-0.28
1675.10,0.59,0.89,0.59,0.89,-0.90,-0.85,-0.30,-0.30,-0.30
1691.85,0.61,0.92,0.61,0.92,-0.93,-0.85,-0.31,-0.31,-0.31
1708.77,0.64,0.97,0.64,0.97,-0.96,-0.87,-0.32,-0.32,-0.33
1725.86,0.66,1.01,0.67,1.01,-1.00,-0.91,-0.34,-0.34,-0.34
1743.12,0.69,1.06,0.70,1.06,-1.05,-0.97,-0.36,-0.35,-0.37
1760.55,0.74,1.12,0.74,1.11,-1.10,-1.04,-0.36,-0.36,-0.37
1778.15,0.78,1.15,0.78,1.15,-1.16,-1.13,-0.37,-0.38,-0.37
1795.94,0.82,1.20,0.83,1.20,-1.21,-1.22,-0.39,-0.39,-0.38
1813.90,0.87,1.25,0.88,1.26,-1.27,-1.32,-0.40,-0.39,-0.38
1832.03,0.93,1.33,0.93,1.33,-1.33,-1.41,-0.40,-0.40,-0.40
1850.36,1.00,1.41,1.00,1.40,-1.39,-1.50,-0.39,-0.40,-0.40
1868.86,1.06,1.46,1.06,1.46,-1.46,-1.58,-0.39,-0.39,-0.40
1887.55,1.12,1.52,1.13,1.52,-1.52,-1.65,-0.40,-0.39,-0.39
1906.42,1.19,1.58,1.19,1.58,-1.58,-1.72,-0.39,-0.39,-0.39
1925.49,1.26,1.65,1.26,1.65,-1.64,-1.78,-0.38,-0.38,-0.39
1944.74,1.33,1.71,1.33,1.71,-1.70,-1.82,-0.37,-0.37,-0.38
1964.19,1.40,1.76,1.41,1.76,-1.76,-1.86,-0.36,-0.36,-0.36
1983.83,1.48,1.82,1.48,1.82,-1.82,-1.90,-0.34,-0.34,-0.33
2003.67,1.55,1.87,1.56,1.88,-1.88,-1.93,-0.33,-0.33,-0.32
2023.71,1.63,1.94,1.63,1.94,-1.94,-1.95,-0.31,-0.31,-0.31
2043.94,1.70,2.01,1.70,2.00,-2.00,-1.97,-0.30,-0.30,-0.31
2064.38,1.76,2.06,1.77,2.06,-2.06,-1.98,-0.30,-0.29,-0.29
2085.03,1.83,2.12,1.83,2.12,-2.12,-2.00,-0.29,-0.29,-0.29
2105.88,1.89,2.17,1.90,2.17,-2.18,-2.01,-0.29,-0.28,-0.28
2126.94,1.96,2.23,1.97,2.23,-2.24,-2.03,-0.27,-0.27,-0.26
2148.20,2.03,2.30,2.02,2.29,-2.29,-2.05,-0.25,-0.27,-0.26
2169.69,2.06,2.33,2.07,2.34,-2.34,-2.07,-0.27,-0.27,-0.27
2191.38,2.09,2.38,2.10,2.38,-2.38,-2.09,-0.29,-0.28,-0.29
2213.30,2.11,2.42,2.12,2.42,-2.42,-2.12,-0.30,-0.30,-0.30
2235.43,2.13,2.45,2.13,2.45,-2.45,-2.15,-0.31,-0.32,-0.32
2257.78,2.13,2.46,2.13,2.47,-2.47,-2.19,-0.33,-0.34,-0.33
2280.36,2.11,2.47,2.12,2.48,-2.48,-2.24,-0.36,-0.35,-0.36
2303.17,2.10,2.48,2.10,2.47,-2.47,-2.28,-0.37,-0.37,-0.37
2326.20,2.08,2.46,2.08,2.46,-2.46,-2.33,-0.37,-0.38,-0.38
2349.46,2.04,2.43,2.04,2.43,-2.42,-2.38,-0.38,-0.38,-0.39
2372.95,1.99,2.39,1.99,2.39,-2.38,-2.42,-0.38,-0.38,-0.40
2396.68,1.93,2.34,1.93,2.33,-2.32,-2.46,-0.39,-0.39,-0.40
2420.65,1.85,2.25,1.86,2.25,-2.25,-2.48,-0.40,-0.40,-0.40
2444.86,1.77,2.16,1.78,2.16,-2.17,-2.48,-0.40,-0.40,-0.39
2469.31,1.69,2.07,1.69,2.07,-2.09,-2.45,-0.39,-0.39,-0.38
2494.00,1.61,1.98,1.61,1.98,-1.99,-2.40,-0.38,-0.38,-0.36
2518.94,1.52,1.88,1.53,1.88,-1.89,-2.31,-0.36,-0.36,-0.36
2544.13,1.43,1.78,1.44,1.78,-1.78,-2.19,-0.34,-0.34,-0.35
2569.57,1.34,1.68,1.34,1.67,-1.66,-2.03,-0.32,-0.32,-0.33
2595.27,1.23,1.54,1.24,1.54,-1.53,-1.85,-0.30,-0.30,-0.30
2621.22,1.12,1.39,1.12,1.40,-1.39,-1.63,-0.27,-0.27,-0.27
2647.43,1.00,1.24,1.00,1.24,-1.25,-1.40,-0.24,-0.24,-0.24
2673.90,0.87,1.09,0.87,1.08,-1.08,-1.15,-0.21,-0.21,-0.21
2700.64,0.73,0.90,0.74,0.91,-0.91,-0.89,-0.18,-0.17,-0.17
2727.65,0.59,0.73,0.59,0.73,-0.72,-0.64,-0.13,-0.14,-0.14
2754.93,0.43,0.53,0.43,0.52,-0.53,-0.39,-0.10,-0.10,-0.10
2782.48,0.26,0.31,0.27,0.32,-0.32,-0.16,-0.06,-0.05,-0.04
2810.30,0.10,0.09,0.10,0.09,-0.10,0.06,0.01,0.01,0.01
2838.40,-0.06,-0.13,-0.06,-0.14,0.14,0.27,0.09,0.08,0.07
2866.79,-0.24,-0.38,-0.23,-0.38,0.40,0.47,0.16,0.17,0.14
2895.46,-0.41,-0.64,-0.41,-0.64,0.67,0.67,0.26,0.26,0.24
2924.41,-0.60,-0.93,-0.60,-0.93,0.94,0.88,0.35,0.34,0.33
2953.65,-0.80,-1.23,-0.79,-1.23,1.22,1.12,0.43,0.43,0.43
2983.19,-0.99,-1.54,-1.00,-1.54,1.51,1.39,0.52,0.51,0.55
3013.02,-1.21,-1.84,-1.21,-1.83,1.79,1.70,0.59,0.59,0.64
3043.15,-1.43,-2.11,-1.42,-2.11,2.09,2.05,0.66,0.66,0.68
3073.58,-1.65,-2.37,-1.65,-2.38,2.38,2.42,0.74,0.73,0.72
3104.32,-1.88,-2.66,-1.88,-2.66,2.69,2.80,0.81,0.81,0.78
3135.36,-2.12,-2.97,-2.11,-2.96,3.01,3.17,0.89,0.90,0.86
3166.72,-2.36,-3.26,-2.36,-3.28,3.36,3.51,1.01,1.00,0.91
3198.38,-2.63,-3.61,-2.63,-3.61,3.72,3.82,1.09,1.09,0.98
3230.37,-2.91,-3.95,-2.91,-3.95,4.04,4.08,1.14,1.14,1.04
3262.67,-3.21,-4.31,-3.20,-4.29,4.32,4.29,1.12,1.12,1.10
3295.30,-3.50,-4.61,-3.50,-4.62,4.54,4.44,1.04,1.04,1.11
3328.25,-3.79,-4.91,-3.79,-4.92,4.67,4.54,0.88,0.88,1.13
3361.53,-4.07,-5.22,-4.06,-5.20,4.71,4.57,0.64,0.65,1.15
3395.15,-4.32,-5.47,-4.32,-5.47,4.66,4.54,0.35,0.34,1.15
3429.10,-4.56,-5.71,-4.56,-5.71,4.53,4.45,-0.03,-0.03,1.15
3463.39,-4.77,-5.93,-4.77,-5.93,4.33,4.32,-0.44,-0.45,1.16
3498.03,-4.97,-6.12,-4.96,-6.12,4.07,4.14,-0.90,-0.90,1.16
3533.01,-5.12,-6.27,-5.12,-6.28,3.77,3.92,-1.34,-1.35,1.16
3568.34,-5.24,-6.40,-5.23,-6.40,3.47,3.66,-1.77,-1.76,1.16
3604.02,-5.30,-6.47,-5.30,-6.47,3.19,3.38,-2.11,-2.11,1.17
3640.06,-5.31,-6.49,-5.31,-6.49,2.93,3.07,-2.38,-2.38,1.18
3676.46,-5.26,-6.45,-5.25,-6.45,2.67,2.76,-2.58,-2.58,1.19
3713.22,-5.12,-6.35,-5.12,-6.35,2.41,2.44,-2.70,-2.71,1.24
3750.36,-4.94,-6.20,-4.93,-6.19,2.16,2.12,-2.78,-2.78,1.26
3787.86,-4.68,-5.96,-4.68,-5.96,1.90,1.83,-2.78,-2.78,1.28
3825.74,-4.37,-5.68,-4.37,-5.68,1.64,1.55,-2.73,-2.73,1.31
3864.00,-4.02,-5.35,-4.01,-5.35,1.38,1.29,-2.64,-2.63,1.33
3902.64,-3.61,-4.97,-3.61,-4.98,1.12,1.05,-2.49,-2.49,1.37
3941.66,-3.16,-4.55,-3.16,-4.56,0.86,0.82,-2.29,-2.30,1.40
3981.08,-2.68,-4.12,-2.67,-4.10,0.61,0.61,-2.07,-2.07,1.44
4020.89,-2.16,-3.61,-2.16,-3.60,0.35,0.39,-1.81,-1.81,1.45
4061.10,-1.62,-3.05,-1.62,-3.06,0.09,0.17,-1.53,-1.53,1.43
4101.71,-1.08,-2.48,-1.08,-2.49,-0.17,-0.06,-1.25,-1.25,1.41
4142.73,-0.54,-1.91,-0.54,-1.91,-0.43,-0.31,-0.97,-0.97,1.38
4184.15,-0.01,-1.34,-0.01,-1.34,-0.69,-0.57,-0.69,-0.70,1.33
4226.00,0.50,-0.77,0.50,-0.77,-0.93,-0.85,-0.43,-0.42,1.27
4268.26,1.00,-0.21,1.00,-0.21,-1.17,-1.13,-0.17,-0.17,1.21
4310.94,1.48,0.34,1.48,0.35,-1.42,-1.43,0.06,0.06,1.14
4354.05,1.94,0.90,1.95,0.90,-1.69,-1.75,0.25,0.25,1.05
4397.59,2.39,1.46,2.39,1.45,-1.99,-2.07,0.40,0.40,0.94
4441.56,2.81,1.98,2.81,1.98,-2.32,-2.39,0.50,0.49,0.83
4485.98,3.21,2.49,3.22,2.50,-2.67,-2.73,0.55,0.55,0.72
4530.84,3.60,2.99,3.60,2.99,-3.04,-3.06,0.56,0.56,0.62
4576.15,3.97,3.46,3.97,3.46,-3.43,-3.40,0.54,0.54,0.51
4621.91,4.32,3.91,4.32,3.89,-3.83,-3.74,0.49,0.48,0.42
4668.13,4.63,4.29,4.64,4.30,-4.24,-4.08,0.39,0.40,0.34
4714.81,4.93,4.66,4.94,4.67,-4.64,-4.41,0.30,0.30,0.27
4761.96,5.22,5.02,5.22,5.02,-5.02,-4.74,0.21,0.21,0.20
4809.58,5.49,5.34,5.50,5.35,-5.36,-5.06,0.14,0.14,0.15
4857.67,5.75,5.65,5.75,5.65,-5.64,-5.37,0.11,0.11,0.10
4906.25,5.98,5.92,5.98,5.93,-5.90,-5.67,0.08,0.08,0.06
4955.31,6.19,6.17,6.19,6.16,-6.12,-5.96,0.07,0.07,0.03
5004.87,6.38,6.37,6.38,6.35,-6.32,-6.23,0.07,0.07,0.01
5054.91,6.56,6.49,6.57,6.50,-6.48,-6.48,0.08,0.08,0.07
5105.46,6.74,6.61,6.74,6.62,-6.63,-6.72,0.11,0.11,0.13
5156.52,6.92,6.74,6.92,6.74,-6.76,-6.93,0.16,0.16,0.18
5208.08,7.09,6.85,7.09,6.86,-6.88,-7.13,0.21,0.21,0.24
5260.16,7.27,7.00,7.27,6.99,-7.01,-7.31,0.26,0.26,0.27
5312.77,7.44,7.13,7.45,7.12,-7.14,-7.47,0.30,0.31,0.31
5365.89,7.63,7.26,7.63,7.27,-7.28,-7.61,0.35,0.35,0.37
5419.55,7.83,7.42,7.83,7.42,-7.44,-7.74,0.40,0.39,0.41
5473.75,8.04,7.60,8.04,7.60,-7.61,-7.85,0.44,0.43,0.44
5528.49,8.25,7.78,8.25,7.78,-7.78,-7.95,0.47,0.47,0.47
5583.77,8.47,7.97,8.46,7.96,-7.97,-8.04,0.51,0.49,0.50
5639.61,8.68,8.15,8.67,8.14,-8.16,-8.12,0.53,0.52,0.53
5696.00,8.89,8.34,8.88,8.33,-8.35,-8.21,0.55,0.54,0.55
5752.96,9.10,8.54,9.08,8.52,-8.53,-8.29,0.58,0.56,0.56
5810.49,9.30,8.73,9.28,8.70,-8.69,-8.39,0.61,0.58,0.57
5868.60,9.48,8.89,9.45,8.86,-8.84,-8.49,0.64,0.60,0.59
5927.28,9.64,9.04,9.59,8.99,-8.96,-8.61,0.68,0.63,0.60
5986.56,9.76,9.14,9.71,9.08,-9.06,-8.73,0.71,0.65,0.62
6046.42,9.88,9.24,9.79,9.14,-9.13,-8.87,0.76,0.66,0.64
6106.89,9.95,9.29,9.83,9.17,-9.18,-9.01,0.78,0.66,0.66
6167.96,9.99,9.32,9.84,9.17,-9.20,-9.13,0.79,0.64,0.67
6229.64,10.02,9.35,9.81,9.14,-9.20,-9.22,0.83,0.62,0.67
6291.93,10.01,9.35,9.76,9.09,-9.15,-9.25,0.86,0.60,0.66
6354.85,10.00,9.37,9.67,9.06,-9.06,-9.19,0.94,0.61,0.63
6418.40,9.98,9.42,9.55,8.99,-8.92,-9.05,1.07,0.63,0.56
6482.58,9.93,9.47,9.39,8.84,-8.72,-8.82,1.21,0.67,0.46
6547.41,9.87,9.29,9.19,8.58,-8.47,-8.51,1.40,0.72,0.58
6612.88,9.77,9.02,8.93,8.23,-8.17,-8.16,1.60,0.76,0.75
6679.01,9.62,8.76,8.62,7.82,-7.84,-7.80,1.78,0.78,0.86
6745.80,9.42,8.50,8.26,7.43,-7.47,-7.43,1.95,0.79,0.93
6813.26,9.17,8.23,7.87,7.05,-7.09,-7.08,2.08,0.77,0.95
6881.39,8.88,7.95,7.46,6.68,-6.72,-6.76,2.16,0.74,0.93
6950.21,8.54,7.67,7.06,6.35,-6.38,-6.46,2.17,0.69,0.87
7019.71,8.16,7.37,6.69,6.04,-6.07,-6.20,2.09,0.62,0.79
7089.91,7.75,7.08,6.35,5.78,-5.80,-5.96,1.95,0.54,0.68
7160.81,7.30,6.78,6.05,5.56,-5.58,-5.75,1.72,0.47,0.52
7232.41,6.81,6.44,5.79,5.37,-5.39,-5.56,1.42,0.41,0.37
7304.74,6.29,6.10,5.58,5.22,-5.23,-5.39,1.06,0.35,0.19
7377.79,5.75,5.75,5.40,5.10,-5.10,-5.24,0.65,0.30,0.01
7451.56,5.19,5.37,5.26,5.00,-5.00,-5.11,0.19,0.25,-0.18
7526.08,4.64,5.01,5.13,4.92,-4.92,-4.98,-0.27,0.22,-0.36
7601.34,4.11,4.69,5.02,4.85,-4.84,-4.87,-0.73,0.18,-0.58
7677.35,3.59,4.36,4.92,4.78,-4.77,-4.77,-1.18,0.15,-0.77
7754.13,3.10,4.05,4.82,4.72,-4.70,-4.68,-1.60,0.12,-0.94
7831.67,2.62,3.71,4.73,4.65,-4.63,-4.59,-2.01,0.09,-1.09
7909.98,2.16,3.34,4.63,4.57,-4.56,-4.50,-2.40,0.07,-1.18
7989.08,1.69,2.92,4.52,4.49,-4.48,-4.42,-2.79,0.04,-1.23
8068.98,1.22,2.47,4.42,4.40,-4.40,-4.35,-3.17,0.02,-1.24
8149.67,0.74,1.95,4.31,4.31,-4.31,-4.27,-3.56,0.01,-1.21
8231.16,0.26,1.36,4.20,4.21,-4.21,-4.20,-3.95,-0.01,-1.10
8313.47,-0.23,0.70,4.08,4.11,-4.11,-4.13,-4.34,-0.03,-0.93
8396.61,-0.71,-0.02,3.97,4.01,-4.01,-4.06,-4.72,-0.04,-0.68
8480.57,-1.17,-0.80,3.84,3.91,-3.91,-3.98,-5.07,-0.06,-0.37
8565.38,-1.61,-1.63,3.72,3.80,-3.81,-3.91,-5.41,-0.08,0.02
8651.03,-2.05,-2.54,3.60,3.70,-3.70,-3.84,-5.75,-0.11,0.49
8737.54,-2.44,-3.44,3.47,3.60,-3.60,-3.76,-6.04,-0.13,1.01
8824.92,-2.77,-4.35,3.34,3.51,-3.51,-3.68,-6.27,-0.16,1.58
8913.17,-3.05,-5.25,3.22,3.41,-3.41,-3.60,-6.46,-0.20,2.20
9002.30,-3.27,-6.11,3.09,3.32,-3.32,-3.52,-6.59,-0.24,2.85
9092.32,-3.40,-6.02,2.96,3.24,-3.24,-3.43,-6.64,-0.28,2.62
9183.25,-3.46,-5.86,2.83,3.15,-3.16,-3.34,-6.61,-0.33,2.40
9275.08,-3.43,-5.60,2.70,3.08,-3.08,-3.25,-6.50,-0.38,2.18
9367.83,-3.32,-5.22,2.57,3.00,-3.00,-3.16,-6.32,-0.43,1.90
9461.51,-3.13,-4.71,2.44,2.93,-2.93,-3.06,-6.05,-0.48,1.58
9556.12,-2.88,-4.08,2.32,2.86,-2.85,-2.96,-5.73,-0.54,1.21
9651.68,-2.56,-3.36,2.19,2.79,-2.79,-2.86,-5.34,-0.59,0.80
9748.20,-2.19,-2.52,2.07,2.73,-2.72,-2.77,-4.91,-0.65,0.33
9845.68,-1.78,-1.58,1.95,2.67,-2.67,-2.67,-4.45,-0.72,-0.19
9944.14,-1.33,-0.57,1.83,2.61,-2.62,-2.59,-3.95,-0.79,-0.76
10043.58,-0.86,0.32,1.71,2.56,-2.58,-2.51,-3.44,-0.87,-1.18
10144.02,-0.40,0.96,1.59,2.54,-2.54,-2.44,-2.94,-0.95,-1.36
10245.46,0.08,1.64,1.47,2.52,-2.52,-2.38,-2.44,-1.05,-1.56
10347.91,0.54,2.31,1.35,2.51,-2.50,-2.34,-1.96,-1.15,-1.76
10451.39,0.99,2.95,1.23,2.49,-2.49,-2.31,-1.49,-1.26,-1.95
10555.91,1.43,3.56,1.11,2.48,-2.48,-2.31,-1.05,-1.37,-2.12
10661.46,1.85,4.12,0.98,2.48,-2.47,-2.31,-0.62,-1.49,-2.27
10768.08,2.24,4.65,0.86,2.47,-2.47,-2.34,-0.23,-1.61,-2.41
10875.76,2.58,5.11,0.74,2.47,-2.47,-2.37,0.11,-1.73,-2.53
10984.52,2.89,5.50,0.62,2.47,-2.47,-2.42,0.42,-1.85,-2.61
